Nr,Journal_name,Journal_IF
163,BEHAVIORAL AND BRAIN SCIENCES,21.357
164,Eurosurveillance,21.286
165,TRENDS IN CELL BIOLOGY,21.167
166,CLINICAL INFECTIOUS DISEASES,20.999
167,Energy Storage Materials,20.831
168,JOURNAL OF MEDICAL VIROLOGY,20.693
169,TRENDS IN ECOLOGY & EVOLUTION,20.589
170,Science Bulletin,20.577
171,Travel Medicine and Infectious Disease,20.441
172,Nature Food,20.43
173,Light-Science & Applications,20.257
174,Journal of Thoracic Oncology,20.121
175,Matter,19.967
176,ADVANCED FUNCTIONAL MATERIALS,19.924
177,Nature Metabolism,19.865
178,PhotoniX,19.818
179,Annual Review of Biophysics,19.763
180,TRENDS IN IMMUNOLOGY,19.709
181,PROGRESS IN RETINAL AND EYE RESEARCH,19.704
182,Nature Physics,19.684
183,Emerging Microbes & Infections,19.568
184,Applied Physics Reviews,19.527
185,JOURNAL OF CLINICAL INVESTIGATION,19.456
186,CRITICAL CARE,19.334
187,MOLECULAR CELL,19.328
188,Science Translational Medicine,19.319
189,AMERICAN JOURNAL OF PSYCHIATRY,19.242
190,Academy of Management Annals,19.241
191,BRAIN BEHAVIOR AND IMMUNITY,19.227
192,Trends in Cancer,19.161
193,NUCLEIC ACIDS RESEARCH,19.16
194,IEEE Transactions on Cybernetics,19.118
195,Nature Ecology & Evolution,19.1
196,Nano Energy,19.069
197,QUARTERLY JOURNAL OF ECONOMICS,19.013
198,KIDNEY INTERNATIONAL,18.998
199,Nano Today,18.962
200,PHARMACOLOGICAL REVIEWS,18.923
201,Molecular Neurodegeneration,18.879
202,ACS Central Science,18.728
203,NEURON,18.688
204,BRITISH JOURNAL OF SPORTS MEDICINE,18.473
205,NATURE STRUCTURAL & MOLECULAR BIOLOGY,18.361
206,TRENDS IN MICROBIOLOGY,18.23
207,ACS Nano,18.027
208,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,18
209,Annual Review of Environment and Resources,17.909
210,GENOME BIOLOGY,17.906
211,ADVANCED DRUG DELIVERY REVIEWS,17.873
212,REPORTS ON PROGRESS IN PHYSICS,17.802
213,Annual Review of Nuclear and Particle Science,17.727
214,Nature Communications,17.694
215,BIOTECHNOLOGY ADVANCES,17.681
216,CYTOKINE & GROWTH FACTOR REVIEWS,17.66
217,TRENDS IN PHARMACOLOGICAL SCIENCES,17.638
218,JOURNAL OF EXPERIMENTAL MEDICINE,17.579
219,Information Fusion,17.564
220,Advanced Science,17.521
221,Advances in Applied Mechanics,17.4
222,AUTOIMMUNITY REVIEWS,17.39
223,Nature Plants,17.352
224,EUROPEAN JOURNAL OF HEART FAILURE,17.349
225,Journal of Extracellular Vesicles,17.337
226,HEPATOLOGY,17.298
227,HUMAN REPRODUCTION UPDATE,17.179
228,DIABETES CARE,17.152
229,EClinicalMedicine,17.033
230,Nature Protocols,17.021
231,SEMINARS IN CANCER BIOLOGY,17.012
232,Cell Reports Medicine,16.988
233,TRENDS IN NEUROSCIENCES,16.978
234,Bioactive Materials,16.874
235,CANADIAN MEDICAL ASSOCIATION JOURNAL,16.859
236,Microbiome,16.837
237,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823
238,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,16.799
239,CHEMICAL ENGINEERING JOURNAL,16.744
240,JAMA Surgery,16.681
241,Alzheimers & Dementia,16.655
242,Annual Review of Marine Science,16.561
243,Mycosphere,16.525
244,CURRENT PROBLEMS IN CARDIOLOGY,16.464
245,Annual Review of Pharmacology and Toxicology,16.459
246,Nature Reviews Urology,16.43
247,Journal of the American Chemical Society,16.383
248,AMERICAN PSYCHOLOGIST,16.358
249,MOLECULAR ASPECTS OF MEDICINE,16.337
250,Annual Review of Earth and Planetary Sciences,16.304
251,Annual Review of Microbiology,16.232
252,Nature Chemical Biology,16.174
253,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,16.161
254,EMERGING INFECTIOUS DISEASES,16.126
255,Lancet HIV,16.07
256,JACC-Cardiovascular Imaging,16.051
257,Annual Review of Medicine,16.048
258,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,16.036
259,TRENDS IN FOOD SCIENCE & TECHNOLOGY,16.002
260,ACTA NEUROPATHOLOGICA,15.887
261,Biomaterials Research,15.863
263,Materials Horizons,15.717
264,Nature Astronomy,15.647
265,ACTA NUMERICA,15.583
266,Annual Review of Neuroscience,15.553
267,Arthritis & Rheumatology,15.483
268,Small Methods,15.367
269,JOURNAL OF MARKETING,15.357
270,Protein & Cell,15.328
271,BIOMATERIALS,15.304
272,Cancer Communications,15.283
273,TRENDS IN MOLECULAR MEDICINE,15.272
274,Genome Medicine,15.266
275,BRAIN,15.255
276,IEEE SIGNAL PROCESSING MAGAZINE,15.204
277,ADVANCES IN COLLOID AND INTERFACE SCIENCE,15.19
278,FEMS MICROBIOLOGY REVIEWS,15.177
279,Small,15.153
280,NATURAL PRODUCT REPORTS,15.111
281,Science Advances,14.957
282,One Earth,14.944
283,ECONOMIC GEOGRAPHY,14.921
284,PROCEEDINGS OF THE IEEE,14.91
285,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,14.908
286,Acta Pharmaceutica Sinica B,14.903
287,Annual Review of Food Science and Technology,14.714
288,ALLERGY,14.71
289,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,14.682
290,AMERICAN JOURNAL OF BIOETHICS,14.676
291,PROGRESS IN LIPID RESEARCH,14.673
292,JMIR Public Health and Surveillance,14.557
293,Analytic Methods in Accident Research,14.556
294,Polymer Reviews,14.536
295,Journal of Materials Chemistry A,14.511
296,JOURNAL OF AUTOIMMUNITY,14.511
297,JOURNAL OF CLINICAL VIROLOGY,14.481
298,Physical Review X,14.404
299,BIOLOGICAL REVIEWS,14.35
300,ACM COMPUTING SURVEYS,14.324
302,TRENDS IN BIOCHEMICAL SCIENCES,14.264
303,Annual Review of Virology,14.263
304,EMBO Molecular Medicine,14.26
305,JOURNAL OF HAZARDOUS MATERIALS,14.224
306,COMMUNICATIONS OF THE ACM,14.065
307,ARTIFICIAL INTELLIGENCE,14.05
308,QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,14.04
309,Journal of Pharmaceutical Analysis,14.026
310,EMBO JOURNAL,14.012
311,BRIEFINGS IN BIOINFORMATICS,13.994
312,IEEE Transactions on Affective Computing,13.99
313,Annual Review of Materials Research,13.972
314,METABOLISM-CLINICAL AND EXPERIMENTAL,13.934
315,IEEE Geoscience and Remote Sensing Magazine,13.925
316,Asian Journal of Psychiatry,13.89
317,ACADEMY OF MANAGEMENT REVIEW,13.865
318,REMOTE SENSING OF ENVIRONMENT,13.85
319,BULLETIN OF THE WORLD HEALTH ORGANIZATION,13.831
320,MEDICAL IMAGE ANALYSIS,13.828
321,Annual Review of Genetics,13.826
322,CLINICAL CANCER RESEARCH,13.801
